Pезюме,Ключ задачи,Идентификатор задачи,Тип задачи,Статус,Ключ проекта,Название проекта,Тип проекта,Руководитель проекта,Идентификатор руководителя проекта,Описание проекта,Приоритет,Решение,Исполнитель,Идентификатор исполнителя,Автор,Идентификатор автора,Создатель,Идентификатор создателя,Создано,Обновлено,Последний просмотр,Решено,Срок исполнения,Голоса,Метки,Метки,Метки,Описание,Среда,Наблюдатели,Идентификатор наблюдателей,Исходная оценка,Оценка остатка,Затраченное время,КПД (полезная работа/затраченная работа),Суммарная первоначальная оценка,Суммарная оценка остатка,Суммарное затраченое время,Уровень безопасности,Пользовательское поле (Actual end),Пользовательское поле (Actual start),Пользовательское поле (Begin Date),Пользовательское поле (Change reason),Пользовательское поле (Change risk),Пользовательское поле (Change type),Пользовательское поле (Compass),Пользовательское поле (End Date),Пользовательское поле (Epic Color),Пользовательское поле (Epic Name),Пользовательское поле (Epic Status),Пользовательское поле (Impact),Пользовательское поле (Issue color),Пользовательское поле (Rank),Пользовательское поле (Request Type),Пользовательское поле (Revision),Пользовательское поле (Start date),Пользовательское поле (Story Points),Пользовательское поле (Story point estimate),Пользовательское поле (Target end),Пользовательское поле (Target start),Пользовательское поле (Team),Пользовательское поле ([CHART] Date of First Response),Пользовательское поле (development),Пользовательское поле (Заблокированные формы),Пользовательское поле (Открытые формы),Пользовательское поле (Отправленные формы),Пользовательское поле (Совокупные формы),Категория статуса
API-tests for Operations with Box,TEST-2,10001,Test,Backlog,TEST,Test,software,Анастасия,712020:e877effb-78dc-4860-a004-4e8b0b438f16,,Medium,,,,Анастасия,712020:e877effb-78dc-4860-a004-4e8b0b438f16,Анастасия,712020:e877effb-78dc-4860-a004-4e8b0b438f16,28/мая/23 9:43 PM,28/мая/23 9:43 PM,28/мая/23 9:44 PM,,,0,API,Box_deals,,,,Анастасия,712020:e877effb-78dc-4860-a004-4e8b0b438f16,,,,,,,,,,,,,,,,,,,,,,0|i00007:,,,,,,,,,,,,,,,К выполнению
API-tests for SecretSanta,TEST-1,10000,Test,Backlog,TEST,Test,software,Анастасия,712020:e877effb-78dc-4860-a004-4e8b0b438f16,,Medium,,Анастасия,712020:e877effb-78dc-4860-a004-4e8b0b438f16,Анастасия,712020:e877effb-78dc-4860-a004-4e8b0b438f16,Анастасия,712020:e877effb-78dc-4860-a004-4e8b0b438f16,17/мая/23 10:31 PM,17/мая/23 10:31 PM,28/мая/23 9:41 PM,,,0,API,Authorization,Changing_password,,,Анастасия,712020:e877effb-78dc-4860-a004-4e8b0b438f16,,,,,,,,,,,,,,,,,,,,,,0|hzzzzz:,,,,,,,,,,,,,,,К выполнению
